carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-24,69,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-24,69,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-25,70,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-25,70,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-25,70,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-25,70,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-25,70,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-26,71,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-26,71,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-26,71,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-26,71,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-26,71,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-27,72,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-27,72,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-27,72,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-27,72,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-27,72,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-28,73,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-28,73,558
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-28,73,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-28,73,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-28,73,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-29,74,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-29,74,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-29,74,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-29,74,582
